                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9353,                 1.1624,                 1.2919,                0.52304,                0.30769,                0.28486,                 0.0954,                 2.6714,                 2.4811,                 1.7589,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.9204,                 1.1814,                 1.2332,                0.54777,                0.38462,                0.39488,                0.07596,                 3.1029,                   2.07,                 1.9509,              0.0016535,              0.0016535,              0.0016535
                     37,                  1.898,                 1.2038,                 1.2286,                0.49149,                0.39672,                0.42048,                0.14108,                 2.4663,                 2.1814,                 1.6258,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.8861,                 1.0997,                 1.2041,                0.52935,                0.48718,                0.47879,                0.13016,                 2.6833,                 1.8442,                 1.7188,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.883,                 1.1024,                 1.1847,                0.49657,                0.46154,                 0.3904,                0.14735,                 2.4893,                 1.8279,                 1.5575,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.7072,                 1.0133,                 1.1541,                 0.4124,                 0.5641,                0.39762,                0.16209,                 2.4566,                 1.7708,                 1.5859,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.8216,                 1.0116,                 1.1648,                0.51392,                0.15385,                0.15043,                0.06925,                 2.3019,                 3.7561,                 1.5121,               0.001604,               0.001604,               0.001604
                     42,                 1.7582,                 1.0581,                 1.1407,                0.64199,                0.33333,                 0.3388,                0.12467,                 2.5628,                 2.4938,                 1.6417,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.7117,                0.99639,                 1.1627,                0.44518,                0.41152,                0.36896,                0.14428,                 2.4298,                 2.5196,                 1.5649,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.6817,                 1.0527,                 1.1494,                0.51377,                0.43357,                0.39962,                0.14086,                 2.4762,                  2.064,                 1.6322,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.7741,                 1.0457,                 1.1273,                 0.5502,                0.38462,                0.45555,                0.17703,                 2.6098,                 1.6753,                 1.7643,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.8216,                 1.0651,                 1.1705,                0.70252,                0.20513,                0.21482,                0.06646,                 2.7435,                 3.6489,                 1.7741,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.5643,                0.99766,                 1.1116,                0.37016,                0.33333,                0.27632,                0.10255,                 2.5031,                  2.572,                 1.7082,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.6158,                0.94218,                 1.0996,                0.58594,                0.58974,                0.50392,                0.16371,                 2.6696,                 1.7692,                 1.7101,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.6656,                0.97103,                 1.0999,                0.69694,                0.35897,                0.44727,                0.15417,                 2.6912,                 1.5128,                 1.7534,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.6039,                0.94761,                 1.0861,                0.63156,                0.33333,                0.39808,                0.16458,                 2.6042,                 1.6053,                 1.7078,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.6218,                 1.0062,                 1.1123,                0.35555,                0.38462,                0.33272,                0.12881,                 2.7369,                 1.6744,                 1.7404,               0.001505,               0.001505,               0.001505
                     52,                 1.6173,                0.91995,                 1.0706,                0.48729,                 0.4874,                0.41123,                0.13367,                 2.7349,                 1.7211,                 1.7021,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.552,                0.88019,                 1.1126,                0.58499,                0.46154,                0.44453,                 0.1277,                 2.8428,                 1.6899,                 1.7834,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.5452,                 0.8983,                 1.0758,                0.54902,                0.37481,                0.37676,                0.10018,                 2.8558,                 1.9128,                  1.765,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.5647,                0.89719,                 1.0992,                0.58936,                0.29473,                 0.3574,                0.13384,                 2.7502,                  1.686,                 1.8604,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.4701,                0.85215,                 1.0538,                0.44169,                0.33333,                0.31933,                0.11223,                 2.6361,                 1.7677,                 1.7569,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.5031,                0.87802,                 1.0694,                0.53111,                 0.4359,                0.37934,                0.13231,                 2.7622,                 1.7012,                 1.8854,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.4957,                0.86408,                 1.0477,                0.60685,                0.41026,                0.45949,                0.15794,                 2.7529,                 1.6124,                 1.7814,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.4025,                0.78709,                 1.0315,                0.55974,                0.35897,                0.36866,                0.11826,                 2.8132,                 2.0327,                 1.7555,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.4957,                0.80478,                 1.0339,                0.56951,                0.46154,                0.47521,                0.18017,                 2.5366,                 1.5777,                 1.6032,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.4514,                 0.7944,                 1.0305,                0.52987,                0.46154,                0.39971,                 0.1529,                 2.5591,                 1.6353,                  1.638,               0.001406,               0.001406,               0.001406
                     62,                 1.5052,                0.82268,                 1.0432,                0.42859,                0.33333,                0.40749,                0.14369,                 2.5977,                 1.9909,                  1.591,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.4986,                0.84395,                 1.0476,                0.64373,                 0.4359,                0.48795,                0.18255,                 2.4834,                 1.7175,                 1.5596,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.5775,                0.83229,                 1.0616,                0.59249,                0.53846,                 0.5153,                0.18445,                 2.6071,                 1.4656,                 1.6877,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.3823,                0.73197,                 1.0178,                0.53657,                0.48718,                0.47364,                0.13772,                  2.705,                 1.5664,                 1.7531,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3654,                0.73094,                 1.0384,                0.46654,                 0.5641,                0.43873,                0.16504,                   2.47,                  1.509,                 1.7269,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3897,                0.72174,                 1.0395,                0.40517,                0.46154,                0.38485,                0.14503,                 2.5073,                 1.6707,                 1.6226,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3441,                0.74945,                 1.0188,                0.41319,                0.53846,                0.42277,                0.17428,                  2.488,                 1.8073,                 1.6518,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.338,                0.70452,                 1.0098,                0.53583,                0.46154,                0.43332,                0.16455,                 2.4788,                 1.8882,                 1.7121,              0.0013268,              0.0013268,              0.0013268
